Old_Name,New_Name
hz,Tsfo1_LV_F
V1,Tsfo1_LV_V1
V23,Tsfo1_LV_U23
Temperature,Box_Temp
Consigne_Temperature,SubStation_Temp_SetPoint
V12,Tsfo1_LV_U12
V12-UNB,Tsfo1_LV_U12_UNB
V23-UNB,Tsfo1_LV_U23_UNB
V31,Tsfo1_LV_U31
V31-UNB,Tsfo1_LV_U31_UNB
1-TOT-W,Tsfo1_LVSwbd1_Feeder1_P
1-TOT-VAR,Tsfo1_LVSwbd1_Feeder1_Q
1-TOT-VA,Tsfo1_LVSwbd1_Feeder1_S
1-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder1_PF_Avg
1-1-W,Tsfo1_LVSwbd1_Feeder1_P1
1-1-PF,Tsfo1_LVSwbd1_Feeder1_PF1
1-1-THD,Tsfo1_LVSwbd1_Feeder1_THD1
1-2-W,Tsfo1_LVSwbd1_Feeder1_P2
1-2-PF,Tsfo1_LVSwbd1_Feeder1_PF2
1-2-THD,Tsfo1_LVSwbd1_Feeder1_THD2
1-3-W,Tsfo1_LVSwbd1_Feeder1_P3
1-3-THD,Tsfo1_LVSwbd1_Feeder1_THD3
SUM_W_1,Tsfo1_LVSwbd1_Feeder1_EP
SUM_VAR_1,Tsfo1_LVSwbd1_Feeder1_EQ
SUM_VA_1,Tsfo1_LVSwbd1_Feeder1_ES
SUM_W_2,Tsfo1_LVSwbd1_Feeder2_EP
SUM_VAR_2,Tsfo1_LVSwbd1_Feeder2_EQ
SUM_VA_2,Tsfo1_LVSwbd1_Feeder2_ES
Consigne_THD,THD_SetPoint
Consigne_PF,PF_SetPoint
2-TOT-W,Tsfo1_LVSwbd1_Feeder2_P
3-TOT-W,Tsfo1_LVSwbd1_Feeder3_P
4-TOT-W,Tsfo1_LVSwbd1_Feeder4_P
5-TOT-W,Tsfo1_LVSwbd1_Feeder5_P
6-TOT-W,Tsfo1_LVSwbd1_Feeder6_P
7-TOT-W,Tsfo1_LVSwbd1_Feeder7_P
8-TOT-W,Tsfo1_LVSwbd1_Feeder8_P
9-TOT-W,Tsfo1_LV_P
2-TOT-VAR,Tsfo1_LVSwbd1_Feeder2_Q
3-TOT-VAR,Tsfo1_LVSwbd1_Feeder3_Q
4-TOT-VAR,Tsfo1_LVSwbd1_Feeder4_Q
5-TOT-VAR,Tsfo1_LVSwbd1_Feeder5_Q
6-TOT-VAR,Tsfo1_LVSwbd1_Feeder6_Q
7-TOT-VAR,Tsfo1_LVSwbd1_Feeder7_Q
8-TOT-VAR,Tsfo1_LVSwbd1_Feeder8_Q
9-TOT-VAR,Tsfo1_LV_Q
2-TOT-VA,Tsfo1_LVSwbd1_Feeder2_S
3-TOT-VA,Tsfo1_LVSwbd1_Feeder3_S
4-TOT-VA,Tsfo1_LVSwbd1_Feeder4_S
5-TOT-VA,Tsfo1_LVSwbd1_Feeder5_S
6-TOT-VA,Tsfo1_LVSwbd1_Feeder6_S
7-TOT-VA,Tsfo1_LVSwbd1_Feeder7_S
8-TOT-VA,Tsfo1_LVSwbd1_Feeder8_S
TOT_VA_9,Tsfo1_LV_S
2-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder2_PF_Avg
3-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder3_PF_Avg
4-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder4_PF_Avg
5-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder5_PF_Avg
6-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder6_PF_Avg
7-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder7_PF_Avg
8-TOT-PF-MOY,Tsfo1_LVSwbd1_Feeder8_PF_Avg
9-TOT-PF-MOY,Tsfo1_LV_PF_Avg
2-1-W,Tsfo1_LVSwbd1_Feeder2_P1
3-1-W,Tsfo1_LVSwbd1_Feeder3_P1
4-1-W,Tsfo1_LVSwbd1_Feeder4_P1
5-1-W,Tsfo1_LVSwbd1_Feeder5_P1
6-1-W,Tsfo1_LVSwbd1_Feeder6_P1
7-1-W,Tsfo1_LVSwbd1_Feeder7_P1
8-1-W,Tsfo1_LVSwbd1_Feeder8_P1
9-1-W,Tsfo1_LV_P1
2-1-PF,Tsfo1_LVSwbd1_Feeder2_PF1
3-1-PF,Tsfo1_LVSwbd1_Feeder3_PF1
4-1-PF,Tsfo1_LVSwbd1_Feeder4_PF1
5-1-PF,Tsfo1_LVSwbd1_Feeder5_PF1
6-1-PF,Tsfo1_LVSwbd1_Feeder6_PF1
7-1-PF,Tsfo1_LVSwbd1_Feeder7_PF1
8-1-PF,Tsfo1_LVSwbd1_Feeder8_PF1
9-1-PF,Tsfo1_LV_PF1
2-2-W,Tsfo1_LVSwbd1_Feeder2_P2
3-2-W,Tsfo1_LVSwbd1_Feeder3_P2
4-2-W,Tsfo1_LVSwbd1_Feeder4_P2
5-2-W,Tsfo1_LVSwbd1_Feeder5_P2
6-2-W,Tsfo1_LVSwbd1_Feeder6_P2
7-2-W,Tsfo1_LVSwbd1_Feeder7_P2
8-2-W,Tsfo1_LVSwbd1_Feeder8_P2
9-2-W,Tsfo1_LV_P2
2-2-PF,Tsfo1_LVSwbd1_Feeder2_PF2
3-2-PF,Tsfo1_LVSwbd1_Feeder3_PF2
4-2-PF,Tsfo1_LVSwbd1_Feeder4_PF2
5-2-PF,Tsfo1_LVSwbd1_Feeder5_PF2
6-2-PF,Tsfo1_LVSwbd1_Feeder6_PF2
7-2-PF,Tsfo1_LVSwbd1_Feeder7_PF2
8-2-PF,Tsfo1_LVSwbd1_Feeder8_PF2
9-2-PF,Tsfo1_LV_PF2
2-2-THD,Tsfo1_LVSwbd1_Feeder2_THD2
3-2-THD,Tsfo1_LVSwbd1_Feeder3_THD2
4-2-THD,Tsfo1_LVSwbd1_Feeder4_THD2
5-2-THD,Tsfo1_LVSwbd1_Feeder5_THD2
6-2-THD,Tsfo1_LVSwbd1_Feeder6_THD2
7-2-THD,Tsfo1_LVSwbd1_Feeder7_THD2
8-2-THD,Tsfo1_LVSwbd1_Feeder8_THD2
9-2-THD,Tsfo1_LV_THD2
2-3-W,Tsfo1_LVSwbd1_Feeder2_P3
3-3-W,Tsfo1_LVSwbd1_Feeder3_P3
4-3-W,Tsfo1_LVSwbd1_Feeder4_P3
5-3-W,Tsfo1_LVSwbd1_Feeder5_P3
6-3-W,Tsfo1_LVSwbd1_Feeder6_P3
7-3-W,Tsfo1_LVSwbd1_Feeder7_P3
8-3-W,Tsfo1_LVSwbd1_Feeder8_P3
9-3-W,Tsfo1_LV_P3
2-3-PF,Tsfo1_LVSwbd1_Feeder2_PF3
4-3-PF,Tsfo1_LVSwbd1_Feeder4_PF3
5-3-PF,Tsfo1_LVSwbd1_Feeder5_PF3
6-3-PF,Tsfo1_LVSwbd1_Feeder6_PF3
7-3-PF,Tsfo1_LVSwbd1_Feeder7_PF3
8-3-PF,Tsfo1_LVSwbd1_Feeder8_PF3
9-3-PF,Tsfo1_LV_PF3
2-3-THD,Tsfo1_LVSwbd1_Feeder2_THD3
3-3-THD,Tsfo1_LVSwbd1_Feeder3_THD3
4-3-THD,Tsfo1_LVSwbd1_Feeder4_THD3
5-3-THD,Tsfo1_LVSwbd1_Feeder5_THD3
6-3-THD,Tsfo1_LVSwbd1_Feeder6_THD3
7-3-THD,Tsfo1_LVSwbd1_Feeder7_THD3
8-3-THD,Tsfo1_LVSwbd1_Feeder8_THD3
9-3-THD,Tsfo1_LV_THD3
SUM_W_3,Tsfo1_LVSwbd1_Feeder3_EP
SUM_W_4,Tsfo1_LVSwbd1_Feeder4_EP
SUM_W_5,Tsfo1_LVSwbd1_Feeder5_EP
SUM_W_6,Tsfo1_LVSwbd1_Feeder6_EP
SUM_W_7,Tsfo1_LVSwbd1_Feeder7_EP
SUM_W_8,Tsfo1_LVSwbd1_Feeder8_EP
SUM_W_9,Tsfo1_LV_EP
SUM_VAR_3,Tsfo1_LVSwbd1_Feeder3_EQ
SUM_VAR_4,Tsfo1_LVSwbd1_Feeder4_EQ
SUM_VAR_5,Tsfo1_LVSwbd1_Feeder5_EQ
SUM_VAR_6,Tsfo1_LVSwbd1_Feeder6_EQ
SUM_VAR_7,Tsfo1_LVSwbd1_Feeder7_EQ
SUM_VAR_8,Tsfo1_LVSwbd1_Feeder8_EQ
SUM_VAR_9,Tsfo1_LV_EQ
SUM_VA_3,Tsfo1_LVSwbd1_Feeder3_ES
SUM_VA_4,Tsfo1_LVSwbd1_Feeder4_ES
SUM_VA_5,Tsfo1_LVSwbd1_Feeder5_ES
SUM_VA_6,Tsfo1_LVSwbd1_Feeder6_ES
SUM_VA_7,Tsfo1_LVSwbd1_Feeder7_ES
SUM_VA_8,Tsfo1_LVSwbd1_Feeder8_ES
SUM_VA_9,Tsfo1_LV_ES
DDS,DDS
EXTRACTEUR,Extractor
Coeff_HT_BT,Factor_HT_BT
1-1-I1-UNB,Tsfo1_LVSwbd1_Feeder1_I1_UNB
2-1-I1-UNB,Tsfo1_LVSwbd1_Feeder2_I1_UNB
3-1-I1-UNB,Tsfo1_LVSwbd1_Feeder3_I1_UNB
4-1-I1-UNB,Tsfo1_LVSwbd1_Feeder4_I1_UNB
5-1-I1-UNB,Tsfo1_LVSwbd1_Feeder5_I1_UNB
6-1-I1-UNB,Tsfo1_LVSwbd1_Feeder6_I1_UNB
7-1-I1-UNB,Tsfo1_LVSwbd1_Feeder7_I1_UNB
8-1-I1-UNB,Tsfo1_LVSwbd1_Feeder8_I1_UNB
9-1-I1-UNB,Tsfo1_LV_I1_UNB
1-2-I2-UNB,Tsfo1_LVSwbd1_Feeder1_I2_UNB
2-2-I2-UNB,Tsfo1_LVSwbd1_Feeder2_I2_UNB
3-2-I2-UNB,Tsfo1_LVSwbd1_Feeder3_I2_UNB
4-2-I2-UNB,Tsfo1_LVSwbd1_Feeder4_I2_UNB
5-2-I2-UNB,Tsfo1_LVSwbd1_Feeder5_I2_UNB
6-2-I2-UNB,Tsfo1_LVSwbd1_Feeder6_I2_UNB
7-2-I2-UNB,Tsfo1_LVSwbd1_Feeder7_I2_UNB
8-2-I2-UNB,Tsfo1_LVSwbd1_Feeder8_I2_UNB
9-2-I2-UNB,Tsfo1_LV_I2_UNB
1-3-I3-UNB,Tsfo1_LVSwbd1_Feeder1_I3_UNB
2-3-I3-UNB,Tsfo1_LVSwbd1_Feeder2_I3_UNB
3-3-I3-UNB,Tsfo1_LVSwbd1_Feeder3_I3_UNB
4-3-I3-UNB,Tsfo1_LVSwbd1_Feeder4_I3_UNB
5-3-I3-UNB,Tsfo1_LVSwbd1_Feeder5_I3_UNB
6-3-I3-UNB,Tsfo1_LVSwbd1_Feeder6_I3_UNB
7-3-I3-UNB,Tsfo1_LVSwbd1_Feeder7_I3_UNB
8-3-I3-UNB,Tsfo1_LVSwbd1_Feeder8_I3_UNB
9-3-I3-UNB,Tsfo1_LV_I3_UNB
Nom_Poste,SubStation_Name
2-1-THD,Tsfo1_LVSwbd1_Feeder2_THD1
3-1-THD,Tsfo1_LVSwbd1_Feeder3_THD1
4-1-THD,Tsfo1_LVSwbd1_Feeder4_THD1
5-1-THD,Tsfo1_LVSwbd1_Feeder5_THD1
6-1-THD,Tsfo1_LVSwbd1_Feeder6_THD1
7-1-THD,Tsfo1_LVSwbd1_Feeder7_THD1
8-1-THD,Tsfo1_LVSwbd1_Feeder8_THD1
9-1-THD,Tsfo1_LV_THD1
1-3-PF,Tsfo1_LVSwbd1_Feeder1_PF3
3-3-PF,Tsfo1_LVSwbd1_Feeder3_PF3
Ptfo,Ptfo
I1_1,Tsfo1_LVSwbd1_Feeder1_I1
I2_1,Tsfo1_LVSwbd1_Feeder1_I2
I3_1,Tsfo1_LVSwbd1_Feeder1_I3
I1_2,Tsfo1_LVSwbd1_Feeder2_I1
I1_3,Tsfo1_LVSwbd1_Feeder3_I1
I1_4,Tsfo1_LVSwbd1_Feeder4_I1
I1_5,Tsfo1_LVSwbd1_Feeder5_I1
I1_6,Tsfo1_LVSwbd1_Feeder6_I1
I1_7,Tsfo1_LVSwbd1_Feeder7_I1
I1_8,Tsfo1_LVSwbd1_Feeder8_I1
I1_9,Tsfo1_LV_I1
I2_2,Tsfo1_LVSwbd1_Feeder2_I2
