Id;Name;Description;ServerName;TopicName;Address;Coef;Offset;LogEnabled;AlEnabled;AlBool;MemTag;MbsTcpEnabled;MbsTcpFloat;SnmpEnabled;RTLogEnabled;AlAutoAck;ForceRO;SnmpOID;AutoType;AlHint;AlHigh;AlLow;AlTimeDB;AlLevelDB;IVGroupA;IVGroupB;IVGroupC;IVGroupD;PageId;RTLogWindow;RTLogTimer;LogDB;LogTimer;AlLoLo;AlHiHi;MbsTcpRegister;MbsTcpCoef;MbsTcpOffset;EEN;ETO;ECC;ESU;EAT;ESH;SEN;STO;SSU;TEN;TSU;FEN;FFN;FCO;KPI;UseCustomUnit;Type;Unit;AlStat;ChangeTime;TagValue;TagQuality;AlType
1;hz;;MODBUS;A;30003W;0.000000;100.000000;0;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;0;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;HTZ;0;01/01/1970 01:00;0;24;0
2;V1;;MODBUS;A;30071E;0.010000;0.000000;0;1;0;0;0;0;0;0;1;0;1;0;Defaut de tension V1;600.000000;100.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;5;;;1;0.010000;0.000000;8;xxx@xxx.fr;;Defaut de tension V1;;0;8;"0000000000,gsm,0;";Defaut de tension V1;0;;0;;;0;0;1;VLT;0;01/01/1970 01:00;0;24;0
3;V23;;MODBUS;A;30079E;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0;Defaut de tension V23;440.000000;360.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;5;340;460;1;1.000000;0.000000;8;xxx@xxx.fr;;Defaut de tension V23;;0;8;"0000000000,gsm,0;";Defaut de tension V23;0;;0;;;0;0;1;VLT;0;01/01/1970 01:00;0;24;0
4;Temperature;Temperature transfo;MODBUS;A;30002I;0.100000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0;Defaut temperature;60.000000;-50.000000;0;0.000000;1;0;0;0;8;600;10;-1.000000;5;;50;1;0.100000;0.000000;8;xxx@xxx.fr;;Defaut temperature;;0;8;"0000000000,gsm,0;";Defaut temperature;0;;0;;;0;0;1;CEL;0;01/01/1970 01:00;0;24;0
5;Consigne_Temperature;Temperature de la sonde du compteur Sert a declencher automatiquement la ventilation;MEM;RET;Consigne_Temperature;0.000000;35.000000;0;0;0;1;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;0;0;1;5;600;10;-1.000000;0;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;2;CEL;0;15/12/2020 16:23;0;65472;0
6;V12;;MODBUS;A;30073E;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0;Defaut de tension V12;440.000000;360.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;5;340;460;1;0.010000;0.000000;8;xxx@xxx.fr;;Defaut de tension V12;;0;8;"0000000000,gsm,0;";Defaut de tension V12;0;;0;;;0;0;1;VLT;0;01/01/1970 01:00;0;24;0
7;V12-UNB;Desequilibre V12;MODBUS;A;30075W;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0;Desequilibre de la tension V12;75.000000;-10.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;5;;80;1;0.010000;0.000000;8;xxx@xxx.fr;;Desequilibre de la tension V12;;0;8;"0000000000,gsm,0;";Desequilibre de la tension V12;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
8;V23-UNB;Desequilibre V23;MODBUS;A;30081W;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0;Desequilibre de la tension V23;75.000000;-10.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;5;;80;1;0.010000;0.000000;8;xxx@xxx.fr;;Desequilibre de la tension V23;;0;8;"0000000000,gsm,0;";Desequilibre de la tension V23;0;;0;;;0;0;1;VLT;0;01/01/1970 01:00;0;24;0
9;V31;;MODBUS;A;30085E;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0;Defaut de tension V31;440.000000;360.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;5;340;460;1;1.000000;0.000000;8;xxx@xxx.fr;;Defaut de tension V31;;0;8;"0000000000,gsm,0;";Defaut de tension V31;0;;0;;;0;0;1;VLT;0;01/01/1970 01:00;0;24;0
10;V31-UNB;Desequilibre V31;MODBUS;A;30087W;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0;Desequilibre de la tension V31;75.000000;-10.000000;0;0.000000;1;0;0;0;3;600;10;-1.000000;5;;80;1;0.010000;0.000000;8;xxx@xxx.fr;;Desequilibre de la tension V31;;0;8;"0000000000,gsm,0;";Desequilibre de la tension V31;0;;0;;;0;0;1;VLT;0;01/01/1970 01:00;0;24;0
11;1-TOT-W;;MODBUS;A;30125M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kW;0;01/01/1970 01:00;0;24;0
12;1-TOT-VAR;;MODBUS;A;30127M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVarh;0;01/01/1970 01:00;0;24;0
13;1-TOT-VA;;MODBUS;A;30129E;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;3;kVA;0;01/01/1970 01:00;0;24;0
14;1-TOT-PF-MOY;Facteur de puissance moyen;MODBUS;A;30131I;0.010000;0.000000;1;0;0;0;0;0;0;0;1;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
15;1-1-W;;MODBUS;A;30139M;1.000000;0.000000;1;0;0;0;0;0;0;0;0;0;1;0;;0.000000;0.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;;;;;;;;;;;;;;;0;1;1;kW;0;01/01/1970 01:00;0;24;0
16;1-1-PF;Facteur de puissance;MODBUS;A;30142I;0.010000;0.000000;1;1;0;0;0;0;0;0;1;0;1;0; Facteur de puissance de la phase 1 départ 1 est inférieur à 0,75;150.000000;75.000000;0;0.000000;0;1;0;0;4;600;10;-1.000000;5;;;1;1.000000;0.000000;8;xxx@xxx.fr;; Facteur de puissance de la phase 1 départ 1 est inférieur à 0,75;;0;8;"0000000000,gsm,0;"; Facteur de puissance de la phase 1 départ 1 est inférieur à 0,75;0;;0;;;0;0;1;P1;0;01/01/1970 01:00;0;24;0
